Path,Tag,v3.7
/system/${LIB}/android.frameworks.schedulerservice@1.0.so,VNDK,
/system/${LIB}/android.frameworks.sensorservice@1.0.so,VNDK,
/system/${LIB}/android.frameworks.vr.composer@1.0.so,VNDK,
/system/${LIB}/android.frameworks.vr.composer@1.0.so,VNDK,
/system/${LIB}/android.hardware.audio.common@2.0-util.so,VNDK,
/system/${LIB}/android.hardware.audio.common@2.0.so,VNDK,
/system/${LIB}/android.hardware.audio.effect@2.0.so,VNDK,
/system/${LIB}/android.hardware.audio@2.0.so,VNDK,
/system/${LIB}/android.hardware.biometrics.fingerprint@2.1.so,VNDK,
/system/${LIB}/android.hardware.bluetooth@1.0.so,VNDK,
/system/${LIB}/android.hardware.boot@1.0.so,VNDK,
/system/${LIB}/android.hardware.broadcastradio@1.0.so,VNDK,
/system/${LIB}/android.hardware.broadcastradio@1.1.so,VNDK,
/system/${LIB}/android.hardware.camera.common@1.0.so,VNDK,
/system/${LIB}/android.hardware.camera.device@1.0.so,VNDK,
/system/${LIB}/android.hardware.camera.device@3.2.so,VNDK,
/system/${LIB}/android.hardware.camera.provider@2.4.so,VNDK,
/system/${LIB}/android.hardware.cas@1.0.so,VNDK,
/system/${LIB}/android.hardware.cas.native@1.0.so,VNDK,
/system/${LIB}/android.hardware.configstore-utils.so,VNDK,
/system/${LIB}/android.hardware.configstore@1.0.so,VNDK,
/system/${LIB}/android.hardware.configstore@1.1.so,VNDK,
/system/${LIB}/android.hardware.contexthub@1.0.so,VNDK,
/system/${LIB}/android.hardware.drm@1.0.so,VNDK,
/system/${LIB}/android.hardware.dumpstate@1.0.so,VNDK,
/system/${LIB}/android.hardware.gatekeeper@1.0.so,VNDK,
/system/${LIB}/android.hardware.gnss@1.0.so,VNDK,
/system/${LIB}/android.hardware.graphics.allocator@2.0.so,VNDK-SP,
/system/${LIB}/vndk-sp/android.hardware.graphics.allocator@2.0.so,VNDK-SP,
/system/${LIB}/android.hardware.graphics.bufferqueue@1.0.so,VNDK,
/system/${LIB}/android.hardware.graphics.common@1.0.so,VNDK-SP,
/system/${LIB}/vndk-sp/android.hardware.graphics.common@1.0.so,VNDK-SP,
/system/${LIB}/android.hardware.graphics.composer@2.1.so,VNDK,
/system/${LIB}/android.hardware.graphics.mapper@2.0.so,VNDK-SP,
/system/${LIB}/vndk-sp/android.hardware.graphics.mapper@2.0.so,VNDK-SP,
/system/${LIB}/android.hardware.health@1.0.so,VNDK,
/system/${LIB}/android.hardware.ir@1.0.so,VNDK,
/system/${LIB}/android.hardware.keymaster@3.0.so,VNDK,
/system/${LIB}/android.hardware.light@2.0.so,VNDK,
/system/${LIB}/android.hardware.media.omx@1.0.so,VNDK,
/system/${LIB}/android.hardware.media@1.0.so,VNDK,
/system/${LIB}/android.hardware.memtrack@1.0.so,VNDK,
/system/${LIB}/android.hardware.nfc@1.0.so,VNDK,
/system/${LIB}/android.hardware.oemlock@1.0.so,VNDK,
/system/${LIB}/android.hardware.power@1.0.so,VNDK,
/system/${LIB}/android.hardware.power@1.1.so,VNDK,
/system/${LIB}/android.hardware.radio.deprecated@1.0.so,VNDK,
/system/${LIB}/android.hardware.radio@1.0.so,VNDK,
/system/${LIB}/android.hardware.radio@1.1.so,VNDK,
/system/${LIB}/android.hardware.renderscript@1.0.so,VNDK-SP,
/system/${LIB}/vndk-sp/android.hardware.renderscript@1.0.so,VNDK-SP,
/system/${LIB}/android.hardware.sensors@1.0.so,VNDK,
/system/${LIB}/android.hardware.soundtrigger@2.0.so,VNDK,
/system/${LIB}/android.hardware.tetheroffload.config@1.0.so,VNDK,
/system/${LIB}/android.hardware.tetheroffload.control@1.0.so,VNDK,
/system/${LIB}/android.hardware.thermal@1.0.so,VNDK,
/system/${LIB}/android.hardware.tv.cec@1.0.so,VNDK,
/system/${LIB}/android.hardware.tv.input@1.0.so,VNDK,
/system/${LIB}/android.hardware.usb@1.0.so,VNDK,
/system/${LIB}/android.hardware.usb@1.1.so,VNDK,
/system/${LIB}/android.hardware.vibrator@1.0.so,VNDK,
/system/${LIB}/android.hardware.vibrator@1.1.so,VNDK,
/system/${LIB}/android.hardware.vr@1.0.so,VNDK,
/system/${LIB}/android.hardware.weaver@1.0.so,VNDK,
/system/${LIB}/android.hardware.wifi.offload@1.0.so,VNDK,
/system/${LIB}/android.hardware.wifi.supplicant@1.0.so,VNDK,
/system/${LIB}/android.hardware.wifi@1.0.so,VNDK,
/system/${LIB}/android.hardware.wifi@1.1.so,VNDK,
/system/${LIB}/android.hidl.allocator@1.0.so,VNDK,
/system/${LIB}/android.hidl.base@1.0.so,VNDK-SP,
/system/${LIB}/vndk-sp/android.hidl.base@1.0.so,VNDK-SP,
/system/${LIB}/android.hidl.manager@1.0.so,VNDK,
/system/${LIB}/hw/android.hidl.memory@1.0-impl.so,FWK-ONLY,
/system/${LIB}/android.hidl.memory@1.0.so,VNDK-SP,
/system/${LIB}/vndk-sp/android.hidl.memory@1.0.so,VNDK-SP,
/system/${LIB}/android.hidl.token@1.0-utils.so,VNDK,
/system/${LIB}/android.hidl.token@1.0.so,VNDK,
/system/${LIB}/android.system.wifi.keystore@1.0.so,VNDK,
/system/${LIB}/hw/audio.a2dp.default.so,FWK-ONLY,
/system/${LIB}/hw/bluetooth.default.so,FWK-ONLY,
/system/${LIB}/hw/keystore.default.so,FWK-ONLY,
/system/${LIB}/ld-android.so,LL-NDK-Indirect,
